Index,English Name,Chinese Name,Label,Type
412,Sanmenxia Hubin Rural Commercial Bank ,三门峡湖滨农村商业银行,B412,5
413,Shangqiu Chinese Mercantile Rural Commercial Bank ,商丘华商农村商业银行,B413,5
414,Henan Jiyuan Rural Commercial Bank ,河南济源农村商业银行,B414,5
415,Henan Xiuwu Rural Commercial Bank ,河南修武农村商业银行,B415,5
416,Henan Lushi Rural Commercial Bank ,河南卢氏农村商业银行,B416,5
417,Henan Xinzheng Rural Commercial Bank ,河南新郑农村商业银行,B417,5
418,Henan Bianjing Rural Commercial Bank ,河南汴京农村商业银行,B418,5
419,Henan Zhongmu Rural Commercial Bank ,河南中牟农村商业银行,B419,5
420,Henan Taikang  Rural Commercial Bank ,河南太康农村商业银行,B420,5
421,Sanmenxia Shanzhou Rural Commercial Bank,三门峡陕州农村商业银行,B421,5
422,Henan Xunxian Rural Commercial Bank ,河南浚县农村商业银行,B422,5
423,Henan Credit Union,河南省农村信用社联合社,B423,6
424,Zhongmu Zhengyin Village Bank,中牟郑银村镇银行,B424,3
425,Xinzheng Zhengyin Village Bank,新郑郑银村镇银行,B425,3
426,Gongyi Spd Rural Bank ,巩义浦发村镇银行,B426,3
427,Jia County Guangtian Village Bank,郏县广天村镇银行,B427,3
428,Wu Zhi Sheyang Village Bank,武陟射阳村镇银行,B428,3
429,Nanyang Country Bank,南阳村镇银行,B429,3
430,Gushi Tianjiao Village Bank,固始天骄村镇银行,B430,3
431,Xinyang Pearl River Village Bank,信阳珠江村镇银行,B431,3
432,Wuhan Dongxihu Yangzi Village Bank ,武汉东西湖扬子村镇银行,B432,3
433,Enshi Xingfu Country Bank,恩施兴福村镇银行,B433,3
434,Hubei Hongan Changjiang Village Bank,湖北红安长江村镇银行,B434,3
435,Qichun Zhongyin Fudeng Village Bank,蕲春中银富登村镇银行,B435,3
436,Wuxue Zhongyin Fudeng Village Bank,武穴中银富登村镇银行,B436,3
437,Zhong Xiang Minsheng Rural Bank,钟祥民生村镇银行,B437,3
438,Jingshan Zhongyin Fudeng Village Bank,京山中银富登村镇银行,B438,3
439,Hubei Suizhou Zengdu Hsbc Village Bank,湖北随州曾都汇丰村镇银行,B439,3
440,Gucheng Boc Fullerton Community Bank ,谷城中银富登村镇银行,B440,3
441,Rural Bank of Hubei Hanchuan Rural Bank,湖北汉川农银村镇银行,B441,3
442,Yidu Minsheng Rural Banking Corporation ,宜都民生村镇银行,B442,3
443,Xingshanbenfu Rural Bank,兴山本富村镇银行,B443,3
444,Wuhan Jiangxia Minsheng Rural Banking,武汉江夏民生村镇银行,B444,3
445,Wuhan Rural Commercial Bank ,武汉农村商业银行,B445,5
446,Hubei Songzi Rural Commercial Bank,湖北松滋农村商业银行,B446,5
447,Hubei Changyang Rural Commercial Bank,湖北长阳农村商业银行,B447,5
448,Hubei Baokang Rural Commercial Bank,湖北保康农村商业银行,B448,5
449,Hubei Suizhou Rural Commercial Bank,湖北随州农村商业银行,B449,5
450,Hubei Province Rural Credit Cooperatives Association,湖北省农村信用社联合社,B450,6
451,Hunan Yanling Rural Commercial Bank,湖南炎陵农村商业银行,B451,5
452,Chaling Pufa Village Bank,茶陵浦发村镇银行,B452,3
453,Xiangtan Rural Commercial Bank ,湘潭农村商业银行,B453,5
454,Xiangxiang City Village Bank ,湘乡市村镇银行,B454,3
455,Shaoshan Everbright Village Bank ,韶山光大村镇银行,B455,3
456,Linwu Spd Rural Bank ,临武浦发村镇银行,B456,3
457,Zixing Spd Rural Bank ,资兴浦发村镇银行,B457,3
458,Qiyang Village Bank ,祁阳村镇银行,B458,3
459,Xiangxi Changhang Village Bank ,湘西长行村镇银行,B459,3
460,Changsha Rural Commercial Bank,长沙农村商业银行,B460,5
461,Liuyang Rural Commercial Bank of Hunan,湖南浏阳农村商业银行,B461,5
462,Hunan Rural Credit Union,湖南省农村信用社联合社,B462,6
463,Guangdong Rural Credit Union,广东省农村信用社联合社,B463,6
464,Guangzhou Rural Commercial Bank ,广州农村商业银行,B464,5
465,Shantou Gulf Rural Commercial Bank ,汕头海湾农村商业银行,B465,5
466,Guangdong Wengyuan Rural Commercial Bank ,广东翁源农村商业银行,B466,5
467,Huizhou Rural Commercial Bank ,惠州农村商业银行,B467,5
468,Shanwei Rural Commercial Bank ,汕尾农村商业银行,B468,5
469,Dongguan Rural Commercial Bank ,东莞农村商业银行,B469,5
470,Zhongshan Rural Commercial Bank ,中山农村商业银行,B470,5
471,Guangdong Shunde Rural Commercial Bank ,广东顺德农村商业银行,B471,5
472,Guangdong Nanhai Rural Commercial Bank ,广东南海农村商业银行,B472,5
473,Foshan Rural Commercial Bank,佛山农村商业银行,B473,5
474,Guangdong Qingyuan Rural Commercial Bank ,广东清远农村商业银行,B474,5
475,Guangdong Sihui Rural Commercial Bank ,广东四会农村商业银行,B475,5
476,Guangzhou Huadu Chouzhou Village Bank,广州花都稠州村镇银行,B476,3
477,Guangzhou Conghua Liuyin Country Bank,广州从化柳银村镇银行,B477,3
478,Guangzhou Panyu Xinhua Village and Township Bank ,广州番禺新华村镇银行,B478,3
479,Dongguan　Changan Village Bank ,东莞长安村镇银行,B479,3
480,Zhongshan Xiaolan County Bank ,中山小榄村镇银行,B480,3
481,Sanshui Pearl River Rural Bank,三水珠江村镇银行,B481,3
482,Huizhou Zhongkai Dongying County Bank,惠州仲恺东盈村镇银行,B482,3
483,Heshan Pearl River Village Bank,鹤山珠江村镇银行,B483,3
484,Meizhou Hakka County Bank,梅州客家村镇银行,B484,3
485,Xingning Zhujiang Rural Bank,兴宁珠江村镇银行,B485,3
486,Zhuhai Hengqin Village Bank,珠海横琴村镇银行,B486,3
487,Dongyuan Taiye Village Bank,东源泰业村镇银行,B487,3
488,Guangxi Rural Credit Union,广西壮族自治区农村信用社联合社,B488,6
489,"Nanning Urban District Rural Credit 
Union",南宁市区农村信用合作联社,B489,6
490,Nanning Yongning Rural Credit Union,南宁市邕宁区农村信用合作联社,B490,6
491,Guangxi Xingan  Rural Cooperative Bank,广西兴安农村合作银行,B491,4
492,Guangxi Yangshuo  Rural Cooperative Bank,广西阳朔农村合作银行,B492,4
493,Wuzhou Urban Distyit Rural Credit Union,梧州市区农村信用合作联社,B493,6
494,Guangxi Pingxiang Rural Commercial Bank ,广西凭祥农村商业银行,B494,5
495,"Guangxi Hezhou Guidong Rural Cooperative 
Bank",广西贺州桂东农村合作银行,B495,4
496,Tiandong Beibu Gulf County Bank,田东北部湾村镇银行,B496,3
497,Pingguo Guomin County Bank,平果国民村镇银行,B497,3
498,Lingshan Taiye Village Bank ,灵山泰业村镇银行,B498,3
499,Nanning Jiangnan National Rural Bank,南宁江南国民村镇银行,B499,3
500,Guilin National Village Bank,桂林国民村镇银行,B500,3
501,Hainan Rural Credit Union,海南省农村信用社联合社,B501,6
502,Haikou United Rural Commercial Bank ,海口联合农村商业银行,B502,5
503,Haikou Rural Commercial Bank,海口农村商业银行,B503,5
504,Sanya Rural Commercial Bank,三亚农村商业银行,B504,5
505,Haikou Rural Credit Cooperatives Union,海口市农村信用合作联社,B505,6
506,"Danzhou Country Rural Credit 
Cooperatives Union",儋州市农村信用合作联社,B506,6
507,Haikou Sunan Mintai County Bank,海口苏南村镇银行,B507,3
508,Xingfu County Bank,兴福村镇银行,B508,3
509,Chongqing Nanchuan Shiyin County Bank ,重庆南川石银村镇银行,B509,3
510,Chongqing Qianjiang Yinzuo Rural Bank ,重庆黔江银座村镇银行,B510,3
511,Chongqing Jiangbei Hengfeng Village Bank,重庆江北恒丰村镇银行,B511,3
512,"Chongqing Yubei Yinzuo Rural Bank Co.，
Ltd",重庆渝北银座村镇银行,B512,3
513,Qijiang Minsheng Village Bank,綦江民生村镇银行,B513,3
514,Chongqing Dazu Hsbc Rural Bank ,重庆大足汇丰村镇银行,B514,3
515,"Tongnan Minsheng Rural Banking Corp.,Ltd.",潼南民生村镇银行,B515,3
516,Chongqing Rural Commercial Bank ,重庆农村商业银行,B516,5
517,Dazhou Rural Commercial Bank ,达州农村商业银行,B517,5
518,Leshan Sanjiang Rural Commercial Bank ,乐山三江农村商业银行,B518,5
519,Luzhou Rural Commercial Bank ,泸州农村商业银行,B519,5
520,Sichuan Hejiang Rural Commercial Bank ,四川合江农村商业银行,B520,5
521,Mianyang Rural Commercial Bank,绵阳农村商业银行,B521,5
522,Sichuan Langzhong Rural Commercial Bank ,四川阆中农村商业银行,B522,5
523,Panzhihua Rural Commercial Bank,攀枝花农村商业银行,B523,5
524,Yaan Rural Commercial Bank ,雅安农村商业银行,B524,5
525,Chengdu Rural Commercial Bank,成都农村商业银行,B525,5
526,Sichuan Rural Credit Cooperatives Association,四川省农村信用社联合社,B526,6
527,Cangxi County Benefit People Rural Fund Mutual Aid,苍溪县益民农村资金互助社,B527,7
528,Dayi Bocom Xingmin Rural Bank ,大邑交银兴民村镇银行,B528,3
529,Dujiangyan Jindu County Bank ,都江堰金都村镇银行,B529,3
530,Jin Tang Huijin Rural Bank ,金堂汇金村镇银行,B530,3
531,Pengzhou Minsheng Rural Bank,彭州民生村镇银行,B531,3
532,Xindu Guicheng Rural Bank ,新都桂城村镇银行,B532,3
533,Qionglai Guomin County Bank ,邛崃国民村镇银行,B533,3
534,Xinjin Zhujiang Rural Bank,新津珠江村镇银行,B534,3
535,Xuanhan Chengmin Village Bank,宣汉诚民村镇银行,B535,3
536,Shifang Siyuan Village Bank,什邡思源村镇银行,B536,3
537,Guang’An Evergrowing Rurai Bank ,广安恒丰村镇银行,B537,3
538,Guishang County Bank of Guang Yuan City ,广元市贵商村镇银行,B538,3
539,Renshou Minfu Village Bank,仁寿民富村镇银行,B539,3
540,Sichuan Beichuan Qiang Autonomous County Fumin Village Bank,四川北川羌族自治县富民村镇银行,B540,3
541,Sichuan Yilong Huimin Rural Bank,四川仪陇惠民村镇银行,B541,3
542,Ziyang Minsheng Rural Bank,资阳民生村镇银行,B542,3
543,Guiyang Rural Commercial Bank,贵阳农村商业银行,B543,5
544,Huaxi Rural Commercial Bank,贵州花溪农村商业银行,B544,5
545,Guizhou Qingzhen Rural Commercial Bank ,贵州清镇农村商业银行,B545,5
546,Guizhou Wudang Rural Commercial Bank ,贵州乌当农村商业银行,B546,5
547,Bijie Rural Development Bank,毕节发展村镇银行,B547,3
548,Xingyi Wanfeng Village Bank,兴义万丰村镇银行,B548,3
549,Guizhou Rural Credit Cooperatives Association,贵州省农村信用社联合社,B549,6
550,Yunnan Rural Credit Cooperatives Association,云南省农村信用社联合社,B550,6
551,Kunming Rural Credit Cooperatives Association,昆明市农村信用合作社联合社,B551,6
552,Kunming Guandu Rural Cooperative Bank,昆明官渡农村合作银行,B552,4
553,Yunnan Wenshan Rural Commercial Bank ,云南文山市农村商业银行,B553,5
554,Yunnan Xiangyun Rural Commercial Bank ,云南祥云农村商业银行,B554,5
555,Yunnan Binchuan Rural Commercial Bank ,云南宾川农村商业银行,B555,5
556,Yunnan Jianchuan Rural Commercial Bank ,云南剑川农村商业银行,B556,5
557,Zhaotong Zhaoyang Fudian Village Bank,昭通昭阳富滇村镇银行,B557,3
558,Qujing Fuyuan Fudian Rural Bank Liability Company,曲靖富源富滇村镇银行,B558,3
559,Lufeng Longcheng Fudian Village Bank,禄丰龙城富滇村镇银行,B559,3
560,Kunming Chenggong Huaxia Village Bank,昆明呈贡华夏村镇银行,B560,3
561,Yunnan Xishan Beiyin Village Bank,云南西山北银村镇银行,B561,3
562,Shaanxi Qinnong Rural Commercial Bank,陕西秦农农村商业银行,B562,5
563,Shaanxi Yulin Yuyang Rural Commercial Bank ,陕西榆林农村商业银行,B563,5
564,Shaanxi Rural Credit Union,陕西省农村信用社联合社,B564,6
565,Xi’An Chang'An Rural Credit Union,西安市长安区农村信用合作联社,B565,6
566,Xi 'An Gaoling Sunshine Village Bank,西安高陵阳光村镇银行,B566,3
567,Zhidan Minsheng Rural Bank,志丹民生村镇银行,B567,3
568,Ansai Rural Village Bank,安塞农银村镇银行,B568,3
569,Gansu Province Rural Credit Cooperatives Association,甘肃省农村信用社联合社,B569,6
570,Lanzhou Rural Commercial Bank,兰州农村商业银行,B570,5
571,Gansu Yuzhong Rural Cooperative Bank,甘肃榆中农村合作银行,B571,4
572,Yuzhong Pufa Village Bank,榆中浦发村镇银行,B572,3
573,Huining Huishi Village & Township  Bank  ,会宁会师村镇银行,B573,3
574,Qingyang Xifeng Credit Suisse Rural Bank,庆阳市西峰瑞信村镇银行,B574,3
575,Longnan Wudu Rural Cooperative Bank,陇南武都农村合作银行,B575,4
576,Longnan Wudu Jinqiao Village Bank,陇南市武都金桥村镇银行,B576,3
577,Qinghai Province Rural Credit Union,青海省农村信用社联合社,B577,6
578,Qinghai Haidong Rural Commercial Bank ,青海海东农村商业银行,B578,5
579,Ningxia Yellow River  Rural Commercial Bank,宁夏黄河农村商业银行,B579,5
580,Ning Xia Zhongning Qingyin Rural Bank,宁夏中宁青银村镇银行,B580,3
581,Longde Liupanshan Rural Bank ,隆德六盘山村镇银行,B581,3
582,Ningxia Tongxin Jinhui County Bank ,宁夏同心津汇村镇银行,B582,3
583,Binhe County Bank of Wuzhong,吴忠市滨河村镇银行,B583,3
584,Xinjiang Tianshan Rural Commercial Bank ,新疆天山农村商业银行,B584,5
585,Xinjiang Changji Rural Commercial Bank ,新疆昌吉农村商业银行,B585,5
586,Xinjiang Shihezi Rural Cooperative Bank,新疆石河子农村合作银行,B586,4
587,Xinjiang Rural Credit Cooperatives Association,新疆维吾尔自治区农村信用社联合社,B587,6
588,Tacheng Kunlun Rural Bank,塔城昆仑村镇银行,B588,3
589,Yuli Daxi Jiyin County Bank Company,尉犁达西冀银村镇银行,B589,3
590,Shihezi Guomin County Bank,石河子国民村镇银行,B590,3
591,Xinjiang Shihezi Bocom Rural Bank,新疆石河子交银村镇银行,B591,3
592,Xinjiang Oasis Guomin County Bank ,新疆绿洲国民村镇银行,B592,3
593,Kuche Guomin County Bank,库车国民村镇银行,B593,3
594,Wujiaqu National Village Bank,五家渠国民村镇银行,B594,3
595,Changji City Yushugou Town of Rural Mutual Funds Association,昌吉市榆树沟镇民心农村资金互助社,B595,7
596,Dalian Rural Commercial Bank ,大连农村商业银行,B596,5
597,Zhuanghe Hui Tong Rural Commercial Bank ,庄河汇通村镇银行,B597,3
598,Ningbo Cixi Rural Commercial Bank,宁波慈溪农村商业银行,B598,5
599,Ningbo Yinzhou Rural Commercial Bank,宁波鄞州农村商业银行,B599,5
600,Ninghai Boc Fullerton Community Bank ,宁海中银富登村镇银行,B600,3
601,Cixi Minsheng Rural Bank,慈溪民生村镇银行,B601,3
602,Xiangshan National Village Bank,象山国民村镇银行,B602,3
603,Xiamen Rural Commercial Bank ,厦门农村商业银行,B603,5
604,Qingdao Rural Commercial Bank ,青岛农村商业银行,B604,5
605,Qingdao Laoshan Bocom Rural Bank,青岛崂山交银村镇银行,B605,3
606,Qingdao Laixiyuantai Town Bank,青岛莱西元泰村镇银行,B606,3
607,Qingdao Pingdu Huimin Village Bank ,青岛平度惠民村镇银行,B607,3
608,Shenzhen Rural Commercial Bank,深圳农村商业银行,B608,5
609,Shenzhen Longgang Everdynasty Rural Bank,深圳龙岗鼎业村镇银行,B609,3
610,Shenzhen Futian Yinzuo Rural Bank ,深圳福田银座村镇银行,B610,3
611,Shenzhen Nanshan Baosheng County Bank ,深圳南山宝生村镇银行,B611,3
612,Linzhi Minsheng Rural Banking Corporation ,林芝民生村镇银行,B612,3
613,Hsbc Bank (China),汇丰银行（中国）,B613,8
614,The Bank of East Asia (China) ,东亚银行（中国）,B614,8
615,Nanyang Commercial Bank (China),南洋商业银行（中国）,B615,8
616,Hang Seng Bank (China) ,恒生银行（中国）,B616,8
617,Citic Bank International (China),中信银行国际（中国）,B617,8
618,Dah Sing Bank (China) ,大新银行（中国）,B618,8
619,Ocbc Wing Hang Bank (China),华侨永亨银行（中国）,B619,8
620,Chinese Mercantile Bank,华商银行,B620,8
621,Keb Hana Bank (China),韩亚银行（中国）,B621,8
622,Shinhan Bank （China） ,新韩银行（中国）,B622,8
623,Woori Bank （China） ,友利银行（中国）,B623,8
624,Industrial Bank of Korea (China) ,企业银行（中国）,B624,8
625,United Overseas Bank (China) ,大华银行（中国）,B625,8
626,Dbs Bank (China) ,星展银行（中国）,B626,8
627,Mizuho Bank (China),瑞穗银行（中国）,B627,8
628,Sumitomo Mitsui Banking Corporation (China) ,三井住友银行（中国）,B628,8
629,Mufg Bank (China),三菱日联银行（中国）,B629,8
630,Metropolitan Bank (China),首都银行（中国）,B630,8
631,Allied Commercial Bank,新联商业银行,B631,8
632,Bangkok Bank (China),盘谷银行（中国）,B632,8
633,Zheng Xin Bank ,正信银行,B633,8
634,Bank Sinopac (China),永丰银行（中国）,B634,8
635,Australia and New Zealand Bank (China) ,澳大利亚和新西兰银行（中国）,B635,8
636,Bnp Paribas (China) ,法国巴黎银行（中国）,B636,8
637,Societe Generale (China),法国兴业银行（中国）,B637,8
638,Credit Agricole Corporate and Investment Bank (China) ,东方汇理银行（中国）,B638,8
639,Standard Chartered Bank (China) ,渣打银行（中国）,B639,8
640,Deutsche Bank (China) ,德意志银行（中国）,B640,8
641,Ubs (China) ,瑞士银行（中国）,B641,8
642,Citibank (China) ,花旗银行（中国）,B642,8
643,Jpmorgan Chase Bank (China),摩根大通银行（中国）,B643,8
644,Bank of Montreal (China),蒙特利尔银行（中国）,B644,8
645,Fubon Bank (China) ,富邦华一银行,B645,8
646,Spd Silicon Valley Bank ,浦发硅谷银行,B646,8
647,Kasikornbank (China),开泰银行（中国）,B647,8
648,Cathay United Bank (China),国泰世华银行（中国）,B648,8
649,Shenzhen Commercial Bank,深圳市商业银行,B649,2
650,Shenzhen Development Bank,深圳发展银行,B650,2
651,Changchun Commercial Bank,长春市商业银行,B651,2
652,Jilin Commercial Bank,吉林市商业银行,B652,2
653,Qiqihar Commercial Bank,齐齐哈尔市商业银行,B653,2
654,Mudanjiang Commercial Bank,牡丹江市商业银行,B654,2
655,Daqing Commercial Bank,大庆市商业银行,B655,2
656,Nantong Commercial Bank,南通市商业银行,B656,2
657,Suzhou Commercial Bank,苏州市商业银行,B657,2
658,Yangzhou Commercial Bank,扬州市商业银行,B658,2
659,Wuxi Commercial Bank,无锡市商业银行,B659,2
660,Yancheng Commercial Bank,盐城市商业银行,B660,2
661,Changzhou Commercial Bank,常州市商业银行,B661,2
662,Zhenjiang Commercial Bank,镇江市商业银行,B662,2
663,Xuzhou Commercial Bank,徐州市商业银行,B663,2
664,Huai 'An Commercial Bank,淮安市商业银行,B664,2
665,Lianyungang Commercial Bank,连云港市商业银行,B665,2
666,Hefei Commercial Bank,合肥市商业银行,B666,2
667,Wuhu Commercial Bank,芜湖市商业银行,B667,2
668,Anqing Commercial Bank,安庆市商业银行,B668,2
669,Huaibei Commercial Bank,淮北市商业银行,B669,2
670,Bengbu Commercial Bank,蚌埠市商业银行,B670,2
671,Nanchang Bank,南昌银行,B671,2
672,Jingdezhen Commercial Bank,景德镇市商业银行,B672,2
673,Kaifeng Bank,开封银行,B673,2
674,Anyang Bank,安阳银行,B674,2
675,Hebi Bank,鹤壁银行,B675,2
676,Xinxiang Bank,新乡银行,B676,2
677,Puyang Bank,濮阳银行,B677,2
678,Xuchang Bank,许昌银行,B678,2
679,Luo River Bank,漯河银行,B679,2
680,Sanmenxia Bank,三门峡银行,B680,2
681,Nanyang Bank,南阳银行,B681,2
682,Shangqiu Bank,商丘银行,B682,2
683,Xinyang Bank,信阳银行,B683,2
684,Zhoukou Bank,周口银行,B684,2
685,Zhumadian Bank,驻马店银行,B685,2
686,Huangshi Bank,黄石银行,B686,2
687,Yichang Commercial Bank,宜昌市商业银行,B687,2
688,Xiangfan Commercial Bank,襄樊市商业银行,B688,2
689,Jingzhou Commercial Bank,荆州市商业银行,B689,2
690,Xiaogan Commercial Bank,孝感市商业银行,B690,2
691,Zunyi Commercial Bank,遵义市商业银行,B691,2
692,Liupanshui Commercial Bank,六盘水市商业银行,B692,2
693,Anshun Commercial Bank,安顺市商业银行,B693,2
694,Baoji Commercial Bank,宝鸡市商业银行,B694,2
695,Xianyang Commercial Bank,咸阳市商业银行,B695,2
696,Pingliang Commercial Bank,平凉市商业银行,B696,2
697,Baiyin Commercial Bank,白银市商业银行,B697,2
698,Ningbo International Bank,宁波国际银行,B698,8
699,Ocbc Bank (China),华侨银行（中国）,B699,8
700,Wing Hang Bank (China),永亨银行（中国）,B700,8
701,Shaanxi Yulin Yuyang Rural Commercial Bank,榆阳农村商业银行,B701,5
702,Hengshan Rural Commercial Bank,横山农村商业银行,B702,5
703,Panzhihua City Commercial Bank,攀枝花市商业银行,B703,2
704,Liangshan Prefectural Commercial Bank,凉山州商业银行,B704,2
705,Xuzhou Tongshan Rural Commercial Bank,徐州铜山农村商业银行,B705,5
706,Datong Bank,大同银行,B706,2
707,Changzhi Bank,长治银行,B707,2
708,Jincheng Bank ,晋城银行,B708,2
709,Jinzhong Bank,晋中银行,B709,2
710,Yangquan City Commercial Bank,阳泉市商业银行,B710,2
